,BAD,Loan Total,Mortgage Due,Value,Reason of Default,Occupation,Years at Job,Major derogatory,Delinquent credit lines,Age Of Oldest Credit Line in Months,Number Of Recent Credit Inquiries,Number of Credit Lines,Debt-to-Income Ratio,Home Value
5385,0,31000,37507.0,"60000-79,999",DebtCon,Other,10.0,,,112.8714443,,24.0,31.784456165,"60000-79,999"
3246,0,17300,57358.0,"60000-79,999",DebtCon,Office,0.0,0.0,0.0,194.29333919,0.0,25.0,30.53780606,"60000-79,999"
3506,0,18500,14111.0,"60000-79,999",DebtCon,Office,,0.0,0.0,246.99093051,0.0,22.0,39.611541723,"60000-79,999"
4165,0,21700,47024.0,"60000-79,999",DebtCon,ProfExe,10.0,0.0,0.0,177.60206564,1.0,41.0,37.125361745,"60000-79,999"
1581,0,11500,53151.0,"60000-79,999",HomeImp,Other,7.0,0.0,0.0,135.80047603,0.0,16.0,35.851614414000004,"60000-79,999"
2929,0,16100,54715.0,"60000-79,999",DebtCon,Office,1.0,0.0,0.0,186.21582869,0.0,25.0,29.670506363,"60000-79,999"
4015,1,21000,48735.0,"60000-79,999",DebtCon,Other,8.0,0.0,0.0,48.498970842,3.0,10.0,32.921400637,"60000-79,999"
3335,0,17700,47064.0,"60000-79,999",DebtCon,ProfExe,3.0,0.0,0.0,244.51806442,3.0,32.0,30.403203826,"60000-79,999"
3098,1,16800,50445.0,"60000-79,999",DebtCon,Other,5.0,0.0,0.0,71.23076168899999,5.0,18.0,40.582913478,"60000-79,999"
4552,0,23800,,"60000-79,999",HomeImp,Office,6.0,0.0,0.0,119.71195475,2.0,5.0,19.624527791,"60000-79,999"
585,1,7500,,"60000-79,999",HomeImp,Mgr,4.0,0.0,3.0,177.5,0.0,22.0,,"60000-79,999"
2140,1,13400,58307.0,"60000-79,999",DebtCon,Other,9.0,0.0,2.0,82.708309337,2.0,32.0,36.947798216,"60000-79,999"
5626,0,38400,31458.0,"60000-79,999",DebtCon,ProfExe,4.0,0.0,0.0,191.97555843,2.0,17.0,24.985362469000002,"60000-79,999"
3565,0,18700,45365.0,"60000-79,999",DebtCon,Other,7.0,0.0,0.0,98.45648443600001,3.0,15.0,41.388747587,"60000-79,999"
98,0,4000,67533.0,"60000-79,999",HomeImp,Mgr,10.0,,2.0,227.79298841,0.0,25.0,39.166328703000005,"60000-79,999"
1508,0,11100,54496.0,"60000-79,999",HomeImp,Other,6.0,0.0,0.0,125.76577489,0.0,16.0,35.506774068,"60000-79,999"
5365,0,30600,35332.0,"60000-79,999",DebtCon,Other,10.0,,,115.21089553,,24.0,33.071350275,"60000-79,999"
2192,0,13600,,"60000-79,999",,,0.0,0.0,0.0,,0.0,0.0,3.2650833872000002,"60000-79,999"
2515,0,14900,45797.0,"60000-79,999",DebtCon,Other,11.0,0.0,0.0,233.67873071,0.0,17.0,33.550265214,"60000-79,999"
773,1,8400,31800.0,"60000-79,999",DebtCon,Self,,0.0,2.0,187.26666667,1.0,21.0,,"60000-79,999"
1742,1,12000,28298.0,"60000-79,999",DebtCon,Other,8.0,,,105.5,2.0,22.0,,"60000-79,999"
3436,0,18200,50250.0,"60000-79,999",DebtCon,Mgr,10.0,2.0,0.0,75.06666666699999,3.0,28.0,,"60000-79,999"
571,1,7500,59000.0,"60000-79,999",HomeImp,Office,5.0,0.0,3.0,295.86666667,0.0,19.0,,"60000-79,999"
3941,1,20600,48500.0,"60000-79,999",DebtCon,Other,17.0,0.0,0.0,,0.0,0.0,,"60000-79,999"
1679,1,11900,52814.0,"60000-79,999",DebtCon,Other,12.0,0.0,0.0,123.6,0.0,20.0,,"60000-79,999"
1164,0,10000,57068.0,"60000-79,999",,Other,12.0,0.0,0.0,257.7,0.0,27.0,,"60000-79,999"
3627,1,19000,46300.0,"60000-79,999",DebtCon,ProfExe,5.0,1.0,1.0,215.03333333,6.0,24.0,,"60000-79,999"
5387,1,31000,30000.0,"60000-79,999",DebtCon,Mgr,20.0,2.0,0.0,127.3,1.0,14.0,,"60000-79,999"
2059,0,13000,61865.0,"60000-79,999",DebtCon,ProfExe,0.0,0.0,0.0,172.69668464,2.0,34.0,42.565582285,"60000-79,999"
5895,0,59800,42069.0,"60000-79,999",DebtCon,Other,4.0,0.0,0.0,78.404073089,0.0,21.0,29.01621726,"60000-79,999"
2108,0,13300,61414.0,"60000-79,999",,Other,12.0,0.0,0.0,260.07164985,0.0,27.0,27.286882026999997,"60000-79,999"
835,0,8600,61468.0,"60000-79,999",DebtCon,,19.0,0.0,0.0,163.29885985,0.0,11.0,31.925766549000002,"60000-79,999"
1956,1,12800,40932.0,"60000-79,999",DebtCon,Other,20.0,0.0,0.0,162.04401039,0.0,16.0,37.51836575,"60000-79,999"
2031,0,13000,,"60000-79,999",HomeImp,Other,,0.0,0.0,367.94002493,0.0,6.0,36.561139738,"60000-79,999"
1916,0,12600,58247.0,"60000-79,999",HomeImp,Other,30.0,0.0,3.0,198.24317597,0.0,23.0,35.794259841999995,"60000-79,999"
2791,0,15700,46423.0,"60000-79,999",DebtCon,Other,0.0,,2.0,267.43885530000006,1.0,10.0,36.529319583,"60000-79,999"
3421,0,18100,46145.0,"60000-79,999",DebtCon,ProfExe,11.0,0.0,0.0,178.19207766,0.0,42.0,40.574022482,"60000-79,999"
2621,0,15000,44623.0,"60000-79,999",DebtCon,Other,1.0,0.0,0.0,268.4203579,0.0,21.0,28.13158042,"60000-79,999"
2119,0,13300,44509.0,"60000-79,999",HomeImp,ProfExe,3.0,0.0,0.0,208.92069357,3.0,17.0,37.055724552,"60000-79,999"
1284,0,10300,56127.0,"60000-79,999",HomeImp,Other,28.0,1.0,3.0,184.34575081,0.0,24.0,34.634235614,"60000-79,999"
4219,0,22000,,"60000-79,999",HomeImp,Office,9.0,0.0,0.0,120.53201836,2.0,4.0,20.176213451,"60000-79,999"
452,0,6800,,"60000-79,999",HomeImp,Office,1.0,0.0,0.0,48.818836477,0.0,3.0,40.787393229,"60000-79,999"
1303,1,10400,42714.0,"60000-79,999",DebtCon,Other,12.0,0.0,0.0,105.07480159,6.0,15.0,41.262353472,"60000-79,999"
2503,0,14900,44588.0,"60000-79,999",DebtCon,ProfExe,6.0,0.0,0.0,156.33174453,2.0,11.0,28.164440536,"60000-79,999"
1127,0,9900,55342.0,"60000-79,999",DebtCon,Mgr,7.0,,3.0,111.99885488,1.0,11.0,39.870340356999996,"60000-79,999"
1248,0,10200,60180.0,"60000-79,999",DebtCon,Mgr,5.0,,,125.29486665,,23.0,42.504613543000005,"60000-79,999"
799,0,8500,64665.0,"60000-79,999",HomeImp,Other,4.0,0.0,0.0,70.934880772,3.0,20.0,40.309041225,"60000-79,999"
2083,0,13100,59460.0,"60000-79,999",HomeImp,Other,29.0,1.0,2.0,182.18178223,0.0,24.0,34.785132563000005,"60000-79,999"
1623,1,11700,51600.0,"60000-79,999",HomeImp,Other,15.0,0.0,1.0,125.36336996,4.0,20.0,,"60000-79,999"
514,0,7100,58639.0,"60000-79,999",DebtCon,ProfExe,14.0,0.0,0.0,120.03346455,0.0,20.0,43.678746661000005,"60000-79,999"
1207,0,10000,64375.0,"60000-79,999",DebtCon,ProfExe,14.0,0.0,0.0,207.61730644,3.0,31.0,38.867949083,"60000-79,999"
2027,0,13000,49268.0,"60000-79,999",DebtCon,ProfExe,19.0,0.0,0.0,192.36447464,0.0,15.0,23.617104865,"60000-79,999"
477,0,7000,58339.0,"60000-79,999",HomeImp,Mgr,10.0,,1.0,197.33839792,0.0,24.0,39.843087337,"60000-79,999"
1613,0,11600,57436.0,"60000-79,999",,Other,11.0,0.0,0.0,255.12603024,0.0,27.0,28.945531785,"60000-79,999"
3857,0,20200,,"60000-79,999",HomeImp,Office,8.0,0.0,0.0,120.30325703,2.0,5.0,20.505771155999998,"60000-79,999"
1138,0,10000,59828.0,"60000-79,999",DebtCon,,18.0,0.0,0.0,157.24366245,1.0,11.0,31.626821934000002,"60000-79,999"
4779,1,25000,39000.0,"60000-79,999",DebtCon,Other,3.0,0.0,1.0,114.66666667,3.0,22.0,,"60000-79,999"
1606,1,11600,57200.0,"60000-79,999",DebtCon,Other,5.0,0.0,0.0,34.466666667,4.0,15.0,,"60000-79,999"
2994,1,16400,48700.0,"60000-79,999",DebtCon,Other,,0.0,1.0,127.3,1.0,39.0,,"60000-79,999"
2541,1,15000,48786.0,"60000-79,999",DebtCon,Other,10.0,0.0,0.0,75.4,2.0,9.0,,"60000-79,999"
4815,0,25200,22773.0,"60000-79,999",DebtCon,Other,,1.0,2.0,92.583557,1.0,26.0,30.420914823,"60000-79,999"
1791,0,12100,55147.0,"60000-79,999",DebtCon,Other,0.0,0.0,0.0,229.40617542,0.0,10.0,35.867729634,"60000-79,999"
415,0,6500,58689.0,"60000-79,999",DebtCon,Other,0.0,0.0,1.0,94.00805286,2.0,18.0,34.898413065999996,"60000-79,999"
2070,0,13100,59608.0,"60000-79,999",HomeImp,Other,30.0,1.0,2.0,195.53871125,1.0,24.0,36.611072985,"60000-79,999"
3708,0,19500,48835.0,"60000-79,999",DebtCon,ProfExe,9.0,0.0,0.0,191.27539659,1.0,42.0,39.612425643,"60000-79,999"
2113,0,13300,,"60000-79,999",,,1.0,0.0,0.0,,0.0,0.0,3.7204214202999997,"60000-79,999"
3008,0,16500,44330.0,"60000-79,999",DebtCon,Other,6.0,0.0,0.0,101.49536566,2.0,15.0,41.457025199,"60000-79,999"
1769,1,12100,29097.0,"60000-79,999",DebtCon,Other,8.0,,,109.51487945,1.0,22.0,45.304760568999995,"60000-79,999"
3408,1,18000,48724.0,"60000-79,999",DebtCon,Other,7.0,0.0,0.0,62.088605958,0.0,4.0,31.570298921,"60000-79,999"
1261,0,10200,57142.0,"60000-79,999",DebtCon,,19.0,0.0,0.0,158.18580391,1.0,12.0,32.49748842,"60000-79,999"
1423,0,10800,61767.0,"60000-79,999",DebtCon,ProfExe,15.0,0.0,0.0,228.98545319,3.0,32.0,37.91433471,"60000-79,999"
257,0,5500,71644.0,"60000-79,999",HomeImp,Sales,4.0,2.0,0.0,150.86584513,0.0,22.0,40.442567785,"60000-79,999"
740,0,8300,57503.0,"60000-79,999",DebtCon,,18.0,0.0,0.0,156.59370755,0.0,11.0,33.337118756,"60000-79,999"
1990,0,12900,59191.0,"60000-79,999",DebtCon,Other,2.0,0.0,0.0,175.17044098,1.0,17.0,35.558171284000004,"60000-79,999"
1780,0,12100,,"60000-79,999",,,0.0,0.0,0.0,,0.0,0.0,0.7202950067,"60000-79,999"
824,0,8600,58846.0,"60000-79,999",DebtCon,ProfExe,14.0,0.0,0.0,233.17160046,3.0,32.0,39.775087851,"60000-79,999"
2933,0,16100,51041.0,"60000-79,999",DebtCon,Other,8.0,0.0,0.0,90.325950674,2.0,15.0,43.897730329,"60000-79,999"
1784,0,12100,46152.0,"60000-79,999",DebtCon,Other,0.0,0.0,0.0,270.48998006,0.0,20.0,29.495115994000003,"60000-79,999"
554,0,7400,56596.0,"60000-79,999",HomeImp,Mgr,3.0,0.0,1.0,141.96214925,0.0,23.0,28.300245637,"60000-79,999"
2602,1,15000,54000.0,"60000-79,999",DebtCon,Office,2.9,0.0,1.0,145.1,1.0,15.0,,"60000-79,999"
1562,0,11400,59813.0,"60000-79,999",DebtCon,ProfExe,13.0,0.0,0.0,234.33024049,4.0,31.0,39.351470851,"60000-79,999"
364,0,6300,,"60000-79,999",HomeImp,Office,1.0,0.0,0.0,41.250113587,0.0,3.0,39.198068218,"60000-79,999"
4702,0,24800,43287.0,"60000-79,999",DebtCon,Other,8.0,0.0,0.0,87.01103562,1.0,18.0,34.03109570000001,"60000-79,999"
2529,1,15000,49200.0,"60000-79,999",DebtCon,Other,10.0,0.0,0.0,174.03329961,1.0,16.0,,"60000-79,999"
3288,0,17500,46636.0,"60000-79,999",DebtCon,Other,7.0,0.0,0.0,110.23090719,3.0,15.0,41.512292086,"60000-79,999"
579,1,7500,80440.0,"60000-79,999",HomeImp,Mgr,8.0,0.0,1.0,201.5,0.0,24.0,,"60000-79,999"
2348,0,14200,44412.0,"60000-79,999",DebtCon,ProfExe,19.0,0.0,0.0,196.1321341,0.0,15.0,23.773201871999998,"60000-79,999"
5210,0,28200,44363.0,"60000-79,999",DebtCon,Mgr,16.0,1.0,0.0,82.270594585,6.0,16.0,34.980525368,"60000-79,999"
4761,1,25000,,"60000-79,999",DebtCon,ProfExe,1.8,4.0,0.0,198.8,0.0,18.0,,"60000-79,999"
1795,0,12200,57785.0,"60000-79,999",DebtCon,Other,2.0,0.0,0.0,166.89946021,1.0,16.0,34.709643926999995,"60000-79,999"
1896,0,12500,56791.0,"60000-79,999",HomeImp,Other,29.0,0.0,3.0,182.0664052,0.0,24.0,35.691622815,"60000-79,999"
1099,0,9800,63891.0,"60000-79,999",DebtCon,ProfExe,7.0,0.0,0.0,32.41493353,2.0,24.0,39.37186986,"60000-79,999"
1061,1,9700,55986.0,"60000-79,999",DebtCon,Other,2.5,0.0,1.0,207.16666667,2.0,29.0,,"60000-79,999"
2360,1,14300,52260.0,"60000-79,999",DebtCon,Mgr,0.6,1.0,3.0,62.9,0.0,17.0,,"60000-79,999"
1527,0,11200,62752.0,"60000-79,999",DebtCon,ProfExe,13.0,0.0,0.0,226.56590487,3.0,31.0,38.339798053,"60000-79,999"
1818,0,12300,48866.0,"60000-79,999",HomeImp,Office,11.0,3.0,1.0,251.62906201,1.0,29.0,32.876870739,"60000-79,999"
931,0,9000,50866.0,"60000-79,999",DebtCon,Mgr,5.0,,,118.57000497,,23.0,40.1860615,"60000-79,999"
2653,0,15200,47453.0,"60000-79,999",DebtCon,ProfExe,20.0,0.0,0.0,196.69969558,0.0,16.0,22.383856558,"60000-79,999"
841,0,8700,58007.0,"60000-79,999",DebtCon,ProfExe,14.0,0.0,0.0,240.43728186,3.0,31.0,37.897480893,"60000-79,999"
1395,1,10800,35602.0,"60000-79,999",DebtCon,Self,,0.0,1.0,179.89655998,1.0,20.0,53.584883008,"60000-79,999"
1225,0,10100,54873.0,"60000-79,999",HomeImp,Other,5.0,0.0,1.0,252.25289259,1.0,16.0,38.727417296999995,"60000-79,999"
2758,1,15500,54653.0,"60000-79,999",DebtCon,Other,13.0,,,,,,29.541850911999997,"60000-79,999"
1555,0,11300,,"60000-79,999",,,,,,,,,22.577246193,"60000-79,999"
1532,0,11200,19496.0,"60000-79,999",DebtCon,ProfExe,20.0,0.0,1.0,399.24269191,1.0,12.0,23.374504567,"60000-79,999"
1345,0,10600,61513.0,"60000-79,999",DebtCon,ProfExe,2.0,0.0,0.0,164.56765548,2.0,34.0,43.204953133000004,"60000-79,999"
2013,0,12900,56957.0,"60000-79,999",HomeImp,Other,29.0,1.0,3.0,179.09616602,1.0,23.0,36.394795447,"60000-79,999"
73,0,3800,,"60000-79,999",,,,,,,,,22.253949155999997,"60000-79,999"
1292,0,10400,62442.0,"60000-79,999",DebtCon,ProfExe,8.0,0.0,0.0,47.610677633,1.0,24.0,38.88482776,"60000-79,999"
2538,1,15000,38000.0,"60000-79,999",DebtCon,Other,6.0,0.0,0.0,171.3,0.0,17.0,,"60000-79,999"
1480,1,11000,85008.0,"60000-79,999",HomeImp,Mgr,7.0,0.0,2.0,197.12004536,0.0,23.0,41.441052018,"60000-79,999"
5250,0,28500,43413.0,"60000-79,999",DebtCon,Mgr,13.0,0.0,0.0,102.56701711,6.0,16.0,35.671505075,"60000-79,999"
4911,1,25900,42105.0,"60000-79,999",DebtCon,Other,2.0,0.0,0.0,109.21115611,3.0,22.0,31.809085920999998,"60000-79,999"
1146,1,10000,28000.0,"60000-79,999",HomeImp,Other,2.0,0.0,0.0,28.966666667,4.0,12.0,,"60000-79,999"
1232,0,10100,55738.0,"60000-79,999",DebtCon,Office,5.0,0.0,0.0,85.635235028,1.0,14.0,24.534325065,"60000-79,999"
5619,0,38100,33446.0,"60000-79,999",DebtCon,ProfExe,5.0,0.0,0.0,180.84781496,1.0,18.0,23.820415335,"60000-79,999"
4629,0,24300,41323.0,"60000-79,999",DebtCon,Other,27.0,0.0,1.0,298.18590413,2.0,32.0,36.155277516999995,"60000-79,999"
5103,0,27300,37636.0,"60000-79,999",DebtCon,Mgr,12.0,0.0,0.0,80.792693759,6.0,16.0,34.268228014,"60000-79,999"
5671,0,40300,33299.0,"60000-79,999",DebtCon,ProfExe,4.0,0.0,0.0,184.53758909,1.0,18.0,24.374481111999998,"60000-79,999"
1311,0,10500,,"60000-79,999",HomeImp,Other,,0.0,0.0,367.23086382,0.0,7.0,36.842174626,"60000-79,999"
21,1,2400,50000.0,"60000-79,999",HomeImp,ProfExe,5.0,1.0,0.0,,1.0,0.0,,"60000-79,999"
1086,0,9800,49298.0,"60000-79,999",HomeImp,Office,9.0,3.0,1.0,242.38901624,1.0,29.0,34.690361253,"60000-79,999"
2200,0,13600,41000.0,"60000-79,999",DebtCon,Mgr,4.0,0.0,0.0,125.76666667,1.0,9.0,,"60000-79,999"
5242,0,28400,36484.0,"60000-79,999",DebtCon,Mgr,13.0,1.0,0.0,100.97509079999999,6.0,16.0,34.763993775,"60000-79,999"
2081,0,13100,61853.0,"60000-79,999",,Other,13.0,0.0,0.0,258.93715422,0.0,26.0,28.730851165,"60000-79,999"
2949,0,16200,53600.0,"60000-79,999",DebtCon,Other,5.0,,,104.73333333,1.0,8.0,,"60000-79,999"
5341,1,30200,36000.0,"60000-79,999",DebtCon,Office,14.0,0.0,1.0,202.96666667,0.0,33.0,,"60000-79,999"
1937,0,12700,61840.0,"60000-79,999",DebtCon,ProfExe,1.0,0.0,0.0,157.89244671,2.0,35.0,41.651691707,"60000-79,999"
797,1,8500,48961.0,"60000-79,999",HomeImp,Other,11.0,6.0,1.0,145.1,4.0,11.0,,"60000-79,999"
1101,0,9800,55539.0,"60000-79,999",DebtCon,Office,4.0,0.0,0.0,85.900936244,1.0,14.0,26.331619060999998,"60000-79,999"
1308,0,10500,64295.0,"60000-79,999",DebtCon,,19.0,0.0,0.0,157.24655028,0.0,11.0,33.556312248000005,"60000-79,999"
3256,0,17400,43110.0,"60000-79,999",DebtCon,Mgr,1.0,0.0,0.0,114.28918244,1.0,8.0,26.379108016999997,"60000-79,999"
1590,0,11500,64371.0,"60000-79,999",DebtCon,ProfExe,2.0,0.0,0.0,162.11625392,1.0,35.0,39.791198955,"60000-79,999"
2064,0,13000,60719.0,"60000-79,999",,Other,11.0,0.0,0.0,256.7103553,0.0,26.0,27.310106973000003,"60000-79,999"
3184,0,17100,53983.0,"60000-79,999",DebtCon,Other,5.0,,,95.523512118,0.0,9.0,36.920385648,"60000-79,999"
3036,0,16500,48674.0,"60000-79,999",DebtCon,ProfExe,17.0,0.0,0.0,186.47307149,0.0,23.0,38.37360781,"60000-79,999"
376,0,6300,69357.0,"60000-79,999",HomeImp,Sales,3.0,2.0,0.0,163.28393319,1.0,22.0,42.407814245,"60000-79,999"
658,1,8000,58000.0,"60000-79,999",DebtCon,Mgr,22.0,0.0,4.0,221.43333333,1.0,20.0,,"60000-79,999"
2166,0,13500,44586.0,"60000-79,999",DebtCon,Other,2.0,0.0,0.0,263.93117074,0.0,21.0,29.96620202,"60000-79,999"
5059,0,26900,45763.0,"60000-79,999",DebtCon,Other,23.0,,0.0,291.59168152,1.0,29.0,39.370858155,"60000-79,999"
3780,0,20000,,"60000-79,999",DebtCon,Sales,4.0,0.0,0.0,404.76666667,0.0,24.0,,"60000-79,999"
293,0,5800,,"60000-79,999",HomeImp,Office,1.0,0.0,0.0,71.76655716100001,0.0,4.0,41.287423388,"60000-79,999"
3994,0,20900,45279.0,"60000-79,999",DebtCon,Office,1.0,0.0,0.0,235.39555279,0.0,12.0,34.571844248000005,"60000-79,999"
1277,0,10300,65382.0,"60000-79,999",DebtCon,Other,1.0,0.0,0.0,190.64814501,1.0,17.0,34.192891589,"60000-79,999"
1886,0,12500,50097.0,"60000-79,999",DebtCon,Other,1.0,0.0,0.0,267.86545832,0.0,20.0,29.159609493,"60000-79,999"
4004,0,20900,,"60000-79,999",HomeImp,Office,7.0,0.0,0.0,124.95599784,1.0,5.0,18.481293525,"60000-79,999"
2603,1,15000,47000.0,"60000-79,999",DebtCon,Office,2.0,1.0,5.0,73.1,1.0,16.0,,"60000-79,999"
5643,0,39300,27324.0,"60000-79,999",DebtCon,ProfExe,6.0,0.0,0.0,190.34457453,1.0,18.0,25.053533525,"60000-79,999"
1222,1,10100,60200.0,"60000-79,999",DebtCon,Other,4.0,,4.0,128.86666667,5.0,24.0,,"60000-79,999"
3153,0,17000,53058.0,"60000-79,999",DebtCon,Other,17.0,1.0,0.0,204.93333333,1.0,21.0,,"60000-79,999"
2571,0,15000,23473.0,"60000-79,999",HomeImp,Other,,0.0,0.0,244.76666667,1.0,50.0,,"60000-79,999"
1565,0,11400,56789.0,"60000-79,999",HomeImp,Other,7.0,0.0,0.0,127.62547457,0.0,16.0,33.027143556999995,"60000-79,999"
2423,0,14600,58229.0,"60000-79,999",DebtCon,Other,2.0,0.0,0.0,228.56035401,0.0,9.0,34.124242283,"60000-79,999"
1089,0,9800,54681.0,"60000-79,999",DebtCon,Other,2.0,0.0,1.0,106.88889374,3.0,18.0,36.618660862,"60000-79,999"
1246,1,10200,52310.0,"60000-79,999",DebtCon,Other,13.0,0.0,3.0,118.69578554,2.0,23.0,,"60000-79,999"
1774,0,12100,50973.0,"60000-79,999",DebtCon,Mgr,6.0,,,122.69182705,,24.0,41.128085307,"60000-79,999"
4690,0,24700,44306.0,"60000-79,999",DebtCon,Other,5.0,0.0,0.0,73.71525063600001,1.0,18.0,35.441570262,"60000-79,999"
1695,0,12000,63019.0,"60000-79,999",DebtCon,Office,6.0,0.0,0.0,98.591738332,2.0,14.0,24.490438355,"60000-79,999"
3989,0,20900,,"60000-79,999",HomeImp,Office,6.0,0.0,0.0,123.11488171,1.0,4.0,20.781741227999998,"60000-79,999"
5084,0,27100,20497.0,"60000-79,999",DebtCon,Other,,1.0,2.0,93.06034261799999,1.0,25.0,27.361339811999997,"60000-79,999"
4414,0,22900,50876.0,"60000-79,999",DebtCon,Other,5.0,0.0,0.0,72.004509982,1.0,19.0,34.957029896,"60000-79,999"
4930,0,26000,45963.0,"60000-79,999",DebtCon,Other,20.0,,0.0,295.6669448,1.0,29.0,37.917272876,"60000-79,999"
3346,0,17800,56956.0,"60000-79,999",DebtCon,Office,0.0,0.0,0.0,187.18332939,0.0,24.0,31.817471916,"60000-79,999"
1915,0,12600,55415.0,"60000-79,999",HomeImp,Other,29.0,1.0,2.0,198.8467209,0.0,23.0,36.837741045,"60000-79,999"
385,0,6400,65215.0,"60000-79,999",HomeImp,Mgr,9.0,,1.0,213.83210319999998,0.0,24.0,40.64461955,"60000-79,999"
2266,0,13900,57700.0,"60000-79,999",DebtCon,,8.5,,,,,,,"60000-79,999"
1286,0,10300,57902.0,"60000-79,999",HomeImp,Other,4.0,0.0,0.0,243.6309162,1.0,16.0,36.574441888,"60000-79,999"
1070,0,9700,63488.0,"60000-79,999",DebtCon,Office,5.0,0.0,0.0,106.58945227,2.0,15.0,26.896012771,"60000-79,999"
2988,1,16400,54818.0,"60000-79,999",DebtCon,Office,3.0,2.0,3.0,208.08886428,1.0,50.0,41.95642972,"60000-79,999"
946,0,9100,,"60000-79,999",,,,,,,,,23.942516508,"60000-79,999"
2727,0,15400,47749.0,"60000-79,999",DebtCon,Mgr,3.0,0.0,0.0,133.89931229,1.0,8.0,27.922034781999997,"60000-79,999"
3195,0,17100,27842.0,"60000-79,999",HomeImp,Other,,0.0,0.0,248.71878008,0.0,49.0,44.552154152,"60000-79,999"
3976,0,20800,,"60000-79,999",DebtCon,Sales,6.0,0.0,0.0,407.58562369,0.0,24.0,22.16287266,"60000-79,999"
164,1,5000,,"60000-79,999",HomeImp,Other,19.0,,,,,,,"60000-79,999"
1637,0,11700,15163.0,"60000-79,999",DebtCon,ProfExe,19.0,0.0,2.0,378.82581852,1.0,11.0,20.090783327,"60000-79,999"
2661,0,15200,47200.0,"60000-79,999",DebtCon,ProfExe,17.0,0.0,0.0,174.5215618,0.0,23.0,41.863376119,"60000-79,999"
5191,0,28000,49764.0,"60000-79,999",DebtCon,Other,24.0,,1.0,294.59478302,1.0,30.0,37.611309376,"60000-79,999"
1792,0,12100,48149.0,"60000-79,999",DebtCon,ProfExe,17.0,0.0,0.0,200.03256163,0.0,15.0,23.130971888,"60000-79,999"
52,0,3200,67848.0,"60000-79,999",HomeImp,Mgr,10.0,,1.0,206.42660206,0.0,25.0,40.115677278,"60000-79,999"
1859,1,12400,57105.0,"60000-79,999",DebtCon,Other,12.0,0.0,0.0,134.03176787,0.0,20.0,36.925736414,"60000-79,999"
3833,0,20100,14749.0,"60000-79,999",DebtCon,Office,,0.0,0.0,252.60593155,0.0,22.0,38.801877068,"60000-79,999"
1131,1,10000,48300.0,"60000-79,999",,Other,14.0,0.0,1.0,179.1,2.0,31.0,,"60000-79,999"
528,0,7200,,"60000-79,999",HomeImp,Office,1.0,0.0,0.0,40.182134821,0.0,3.0,37.941253769,"60000-79,999"
2357,0,14200,60570.0,"60000-79,999",DebtCon,ProfExe,2.0,0.0,0.0,137.84110526,2.0,35.0,40.289761298,"60000-79,999"
1988,0,12900,58566.0,"60000-79,999",DebtCon,Mgr,5.0,,,116.77581763,,24.0,39.977051188000004,"60000-79,999"
268,0,5700,,"60000-79,999",,,,,,,,,24.274865275,"60000-79,999"
694,0,8100,53863.0,"60000-79,999",DebtCon,Other,0.0,0.0,0.0,66.29457039100001,8.0,21.0,26.046469421999998,"60000-79,999"
890,0,8900,58503.0,"60000-79,999",HomeImp,Other,6.0,0.0,0.0,243.93599625,1.0,16.0,36.793237169,"60000-79,999"
1010,0,9400,52598.0,"60000-79,999",DebtCon,Mgr,6.0,,,129.34382449,,24.0,42.265466118,"60000-79,999"
2084,1,13100,54000.0,"60000-79,999",DebtCon,Other,14.0,1.0,0.0,92.4,0.0,9.0,,"60000-79,999"
2550,1,15000,,"60000-79,999",DebtCon,,,,,,,,,"60000-79,999"
508,0,7100,,"60000-79,999",HomeImp,Office,2.0,0.0,0.0,48.854644654,0.0,4.0,41.302546904,"60000-79,999"
5892,0,59200,43877.0,"60000-79,999",DebtCon,Other,5.0,0.0,0.0,102.55031718,0.0,21.0,31.304267434,"60000-79,999"
394,0,6400,57887.0,"60000-79,999",HomeImp,Mgr,3.0,0.0,1.0,126.32864372,0.0,22.0,28.756345434,"60000-79,999"
4194,0,21900,53598.0,"60000-79,999",DebtCon,ProfExe,10.0,0.0,1.0,191.55190932,1.0,42.0,40.49010197,"60000-79,999"
5422,0,31800,37100.0,"60000-79,999",DebtCon,Other,10.0,,,109.77658256,,23.0,33.688866161,"60000-79,999"
507,1,7100,54000.0,"60000-79,999",DebtCon,Mgr,7.5,1.0,1.0,71.0,4.0,18.0,,"60000-79,999"
445,0,6800,57439.0,"60000-79,999",HomeImp,Mgr,2.0,0.0,2.0,126.30323511,0.0,22.0,27.118653527,"60000-79,999"
5576,0,36300,35072.0,"60000-79,999",DebtCon,ProfExe,4.0,1.0,0.0,195.5596417,2.0,18.0,23.01985524,"60000-79,999"
1692,0,11900,61094.0,"60000-79,999",,Other,12.0,0.0,0.0,250.19983439,0.0,26.0,29.734874071,"60000-79,999"
1573,0,11400,64934.0,"60000-79,999",DebtCon,Other,3.0,0.0,0.0,192.31448267,2.0,16.0,34.343755724,"60000-79,999"
1474,0,11000,60123.0,"60000-79,999",HomeImp,Other,3.0,0.0,1.0,242.24976115,2.0,16.0,37.680169764,"60000-79,999"
1150,1,10000,53297.0,"60000-79,999",HomeImp,Other,14.0,0.0,1.0,88.53333333299999,2.0,15.0,,"60000-79,999"
881,0,8800,,"60000-79,999",,,,,,,,,23.988913066,"60000-79,999"
